Time,Link,Beam Index RX,Beam Index TX,MCS RX,MCS TX,Mbps TX,Packet Error(%),RCPI (dBm),MCS mode,Sent (Mbps),Received (Mbps),Restransmits,RTT (Mean),RTT (Max),RTT (Min),Scenario
7/1/2021 1:54,P/A/2/0,12,11,4,2,617.42,0.14,-80,auto,342.41,339.39,529,6.96,34.47,0.71,Normal
7/1/2021 1:54,A/P/0/2,14,16,1,4,3.06,4.49,-83.5,auto,342.41,339.39,529,6.96,34.47,0.71,Normal
7/1/2021 1:54,P/A/2/0,12,11,6,2,572.87,1.67,-80.5,auto,342.41,339.39,529,6.96,34.47,0.71,Normal
7/1/2021 1:54,A/P/0/2,14,16,1,4,3.23,4.47,-83.5,auto,342.41,339.39,529,6.96,34.47,0.71,Normal
7/1/2021 1:54,P/A/2/0,12,11,4,1,472.57,0.24,-80.5,auto,342.41,339.39,529,6.96,34.47,0.71,Normal
7/1/2021 1:54,A/P/0/2,14,16,2,4,2.87,0.7,-83.5,auto,342.41,339.39,529,6.96,34.47,0.71,Normal
7/1/2021 1:54,P/A/2/0,12,11,6,2,494.6,0.43,-80.5,auto,342.41,339.39,529,6.96,34.47,0.71,Normal
7/1/2021 1:54,A/P/0/2,14,16,2,4,2.64,0.36,-83.25,auto,342.41,339.39,529,6.96,34.47,0.71,Normal
7/1/2021 1:54,P/A/2/0,12,11,4,2,511.73,0.33,-80,auto,342.41,339.39,529,6.96,34.47,0.71,Normal
7/1/2021 1:54,A/P/0/2,15,16,3,4,0.46,0.5,-83,auto,342.41,339.39,529,6.96,34.47,0.71,Normal
7/1/2021 1:54,A/P/0/2,15,16,2,4,1.35,1.19,-82.75,auto,289.9,286.31,240,6.96,34.47,0.71,Normal
7/1/2021 1:54,P/A/2/0,12,11,5,1,484.22,0.12,-80,auto,289.9,286.31,240,6.96,34.47,0.71,Normal
7/1/2021 1:54,A/P/0/2,14,16,1,4,3.18,3.09,-82.25,auto,289.9,286.31,240,11.24,40.25,0.76,Normal
7/1/2021 1:54,P/A/2/0,12,11,6,3,507.6,0.87,-80,auto,289.9,286.31,240,11.24,40.25,0.76,Normal
7/1/2021 1:54,P/A/2/0,11,11,1,2,449.67,2.12,-82,auto,289.9,286.31,240,11.24,40.25,0.76,Normal
7/1/2021 1:54,A/P/0/2,15,16,2,4,3.28,0.6,-82,auto,289.9,286.31,240,11.24,40.25,0.76,Normal
7/1/2021 1:54,P/A/2/0,11,11,1,3,596.35,1.42,-82,auto,289.9,286.31,240,11.24,40.25,0.76,Normal
7/1/2021 1:54,A/P/0/2,15,16,2,4,2.82,0.95,-82.25,auto,289.9,286.31,240,11.24,40.25,0.76,Normal
7/1/2021 1:54,P/A/2/0,12,11,4,2,598.98,1.09,-81,auto,289.9,286.31,240,11.24,40.25,0.76,Normal
